latitude,longitude
-34.700658,-58.466362
-34.698228,-58.469433
-34.697735,-58.469882
-34.697721,-58.469868
-34.697673,-58.469817
-34.697365,-58.469018
-34.697205,-58.468808
-34.697035,-58.468451
-34.695658,-58.472845
-34.69498,-58.466941
-34.694753,-58.466084
-34.694658,-58.466562
-34.693754,-58.46877
-34.693311,-58.466023
-34.692919,-58.465021
-34.692291,-58.463379
-34.691878,-58.466961
-34.69144,-58.46302
-34.691042,-58.470816
-34.690984,-58.472258
-34.690984,-58.472258
-34.690388,-58.465016
-34.690186,-58.480086
-34.690002,-58.465331
-34.689971,-58.478156
-34.68992,-58.477784
-34.689739,-58.469223
-34.689524,-58.478595
-34.689176,-58.479545
-34.689114,-58.460136
-34.68905,-58.460383
-34.688699,-58.467269
-34.688595,-58.463884
-34.688384,-58.47433
-34.688329,-58.475936
-34.688277,-58.464
-34.688114,-58.471199
-34.687987,-58.461525
-34.687986,-58.47596
-34.68798,-58.475619
-34.687974,-58.461077
-34.687842,-58.47173
-34.687743,-58.461321
-34.68765,-58.461881
-34.687555,-58.461522
-34.687482,-58.462018
-34.687461,-58.477081
-34.687344,-58.483351
-34.687176,-58.477081
-34.687049,-58.465564
-34.687009,-58.469428
-34.686894,-58.46603
-34.686736,-58.462403
-34.686682,-58.458165
-34.686563,-58.458038
-34.686536,-58.47675
-34.686515,-58.462613
-34.686432,-58.462707
-34.686394,-58.456959
-34.686297,-58.456863
-34.686284,-58.46324
-34.686111,-58.47552
-34.686103,-58.456717
-34.686072,-58.474067
-34.685844,-58.463665
-34.685689,-58.479413
-34.685628,-58.463883
-34.685238,-58.467897
-34.68506,-58.45575
-34.684984,-58.463479
-34.684975,-58.468524
-34.68488,-58.455902
-34.684764,-58.463746
-34.684708,-58.478708
-34.684484,-58.47209
-34.684446,-58.464051
-34.684284,-58.464698
-34.684105,-58.473181
-34.684086,-58.488509
-34.684072,-58.481562
-34.684057,-58.469399
-34.683868,-58.473066
-34.683813,-58.465093
-34.683787,-58.465153
-34.683694,-58.469483
-34.683596,-58.4705
-34.683445,-58.477511
-34.6834,-58.479109
-34.683066,-58.465451
-34.683029,-58.468571
-34.682934,-58.46558
-34.682892,-58.466009
-34.682807,-58.466121
-34.682774,-58.465736
-34.682709,-58.468418
-34.682463,-58.46644
-34.682273,-58.473701
-34.681998,-58.473732
-34.681761,-58.480091
