latitude,longitude
-34.643042644561,-58.4614828150678
-34.6418234388572,-58.4125559138146
-34.641686268598,-58.412438156482
-34.6415503145927,-58.4124295130233
-34.6415445520891,-58.4127693299993
-34.6398459655059,-58.4578925044446
-34.6375900422711,-58.4057963350147
-34.6375138750739,-58.4059347738005
-34.6364380641018,-58.4501239524895
-34.6356142953859,-58.399133261202
-34.6355521534918,-58.3988921474059
-34.6353530460408,-58.3992174185089
-34.6351242306099,-58.3992843355741
-34.6350212938628,-58.3990611192492
-34.6314542683564,-58.4420728587085
-34.6312336082877,-58.4708797007541
-34.6310405450173,-58.4701707930652
-34.6308228303251,-58.4420263060704
-34.6308168874437,-58.4707435498461
-34.630730815603,-58.4704051151462
-34.6306758025653,-58.4702255044235
-34.6298206491965,-58.4010268241674
-34.6297881750776,-58.4007908061752
-34.6292361269632,-58.4636428535881
-34.6291905012408,-58.4011343260664
-34.6290796221347,-58.4630853499441
-34.6290252823082,-58.4011606017968
-34.6289961034967,-58.4009183480936
-34.6289790341963,-58.4638644814903
-34.628950414504,-58.4637493547015
-34.6288669849902,-58.4636001898101
-34.6287883973292,-58.4633056670088
-34.628265919314,-58.4338648437152
-34.6281019435462,-58.3803079003358
-34.62807349734,-58.4335242877126
-34.6279009335369,-58.3810445410127
-34.6278378789258,-58.4339721567684
-34.6278038348005,-58.4337522229828
-34.6277053356764,-58.3810574569038
-34.6275871144793,-58.3810652315602
-34.6271297133196,-58.4269734392698
-34.6270642564661,-58.4264609761361
-34.6270277917737,-58.4262100846352
-34.6269415966411,-58.4270133018146
-34.6268641546454,-58.4265102326332
-34.6268244714352,-58.4262555030037
-34.6266052062049,-58.4562391823567
-34.626518499148,-58.4560122761479
-34.6264196262513,-58.4557193133628
-34.6264185211763,-58.4563343642994
-34.626223840808,-58.4558269618566
-34.6257183647322,-58.4161925832396
-34.6256936130946,-58.4159629809248
-34.6251784064491,-58.4162345821305
-34.6251221466679,-58.4160071074626
-34.6247692287559,-58.4094886214233
-34.6246179229059,-58.4098655565043
-34.6245886106229,-58.4095253374491
-34.6239998306524,-58.4031550849783
-34.6239460923339,-58.4027333449737
-34.6237918942857,-58.4030860436761
-34.6237378115673,-58.4488111583103
-34.6237351721855,-58.4026859437426
-34.623603392805,-58.401572467648
-34.6235436433722,-58.4483129860225
