latitude,longitude
-35.5790842,-57.9823866
-35.4497875,-58.0937313
-35.4366533,-58.8176656
-35.3611696,-58.1512081
-35.2814201,-58.8029392
-35.2776676,-58.1982603
-35.1853363,-59.0927924
-35.1677373,-58.2320146
-35.1651382,-58.7881853
-35.1514876,-59.0907406
-35.1154841,-58.8984676
-35.0701752,-58.2906247
-35.0592254,-58.7541775
-35.0583029,-59.0418857
-35.0216179,-58.7237738
-35.0021051,-58.9998545
-34.9863555,-58.6895825
-34.9804097,-58.3738144
-34.9775385,-58.6743571
-34.9621814,-58.647847
-34.9362878,-58.6205451
-34.9279395,-58.9444298
-34.9253053,-57.9213044
-34.920327,-57.9190436
-34.9179155,-58.3805605
-34.9122051,-57.9242646
-34.9099069,-58.5942645
-34.9090514,-57.9278447
-34.9049408,-57.9431423
-34.9038945,-57.950174
-34.9033642,-57.9357323
-34.8923029,-58.917861
-34.8909547,-57.9680983
-34.8892028,-58.5677383
-34.8886501,-58.3837029
-34.8813876,-57.9960622
-34.879841,-58.0107856
-34.8701194,-58.5432637
-34.8657239,-58.0420495
-34.8595879,-58.3871987
-34.8578991,-58.8921946
-34.8540842,-58.5228154
-34.8495861,-58.0751851
-34.8366304,-58.0945403
-34.8332274,-58.4961652
-34.8332066,-58.188026
-34.8251482,-58.3913722
-34.8250279,-58.2132652
-34.8195986,-58.2300795
-34.8144339,-58.4696989
-34.8111227,-58.2742679
-34.8106377,-58.2594167
-34.808388,-58.3048296
-34.8065811,-58.2127388
-34.8032178,-58.4485504
-34.80118,-58.3382367
-34.7978483,-58.3942737
-34.7970708,-58.4291553
-34.7966735,-58.3591724
-34.7950533,-58.4078781
-34.791958,-58.380941
-34.7911192,-58.1552692
-34.7893721,-58.2031929
-34.7862792,-58.4072878
-34.7830555,-58.836545
-34.7823359,-58.1707596
-34.7804203,-58.4373374
-34.7759243,-58.3963571
-34.7744501,-58.1949303
-34.7714637,-58.6465457
-34.7713636,-58.4441098
-34.7640977,-58.2084433
-34.7610318,-58.3973127
-34.7607983,-58.6173412
-34.7564804,-58.6020446
